Ad status,Campaign,Ad group,Status,Ad type,Ad ID
Enabled,Campaign Tiga,fleek,Eligible,Responsive search ad,633089552371
Enabled,Campaign Tiga,fleek,Eligible,Responsive search ad,633013750794
Enabled,Campaign Tiga,fleek,Eligible,Responsive search ad,633023965086
Enabled,Campaign Tiga,netlify,Eligible,Responsive search ad,633088560646
Enabled,Campaign Tiga,netlify,Eligible,Responsive search ad,621746662292
Enabled,Campaign Tiga,netlify,Eligible,Responsive search ad,633145611785
Enabled,Campaign Tiga,pages,Eligible,Responsive search ad,633023451750
Enabled,Campaign Tiga,pages,Eligible,Responsive search ad,633136528214
Enabled,Campaign Tiga,pages,Eligible,Responsive search ad,633089011417
Enabled,Campaign Tiga,storm,Eligible,Responsive search ad,633089331082
Enabled,Campaign Tiga,storm,Eligible,Responsive search ad,633013750791
Enabled,Campaign Tiga,storm,Eligible,Responsive search ad,633023744628
Enabled,Campaign Tiga #2,fleek,Eligible,Responsive search ad,633147827987
Enabled,Campaign Tiga #2,fleek,Eligible,Responsive search ad,633147827996
Enabled,Campaign Tiga #2,fleek,Eligible,Responsive search ad,633147827981
Enabled,Campaign Tiga #2,netlify,Eligible,Responsive search ad,633147827990
Enabled,Campaign Tiga #2,netlify,Eligible,Responsive search ad,633147827999
Enabled,Campaign Tiga #2,netlify,Eligible,Responsive search ad,633147828128
Enabled,Campaign Tiga #2,pages,Eligible,Responsive search ad,633147828131
Enabled,Campaign Tiga #2,pages,Eligible,Responsive search ad,633147827984
Enabled,Campaign Tiga #2,pages,Eligible,Responsive search ad,633147828125
Enabled,Campaign Tiga #2,storm,Eligible,Responsive search ad,633147827993
Enabled,Campaign Tiga #2,storm,Eligible,Responsive search ad,633147827978
Enabled,Campaign Tiga #2,storm,Eligible,Responsive search ad,633147828122
Enabled,Campaign Tiga #3,fleek,Eligible,Responsive search ad,633024910962
Enabled,Campaign Tiga #3,fleek,Eligible,Responsive search ad,633024910950
Enabled,Campaign Tiga #3,fleek,Eligible,Responsive search ad,633024910944
Enabled,Campaign Tiga #3,netlify,Eligible,Responsive search ad,633024910965
Enabled,Campaign Tiga #3,netlify,Eligible,Responsive search ad,633024910956
Enabled,Campaign Tiga #3,netlify,Eligible,Responsive search ad,633024910971
Enabled,Campaign Tiga #3,pages,Eligible,Responsive search ad,633024910977
Enabled,Campaign Tiga #3,pages,Eligible,Responsive search ad,633024910953
Enabled,Campaign Tiga #3,pages,Eligible,Responsive search ad,633024910968
Enabled,Campaign Tiga #3,storm,Eligible,Responsive search ad,633024910959
Enabled,Campaign Tiga #3,storm,Eligible,Responsive search ad,633024910974
Enabled,Campaign Tiga #3,storm,Eligible,Responsive search ad,633024910947
Enabled,Campaign Tiga #4,fleek,Eligible,Responsive search ad,633024910926
Enabled,Campaign Tiga #4,fleek,Eligible,Responsive search ad,633024910791
Enabled,Campaign Tiga #4,fleek,Eligible,Responsive search ad,633024910788
Enabled,Campaign Tiga #4,netlify,Eligible,Responsive search ad,633024910938
Enabled,Campaign Tiga #4,netlify,Eligible,Responsive search ad,633024910929
Enabled,Campaign Tiga #4,netlify,Eligible,Responsive search ad,633024910797
Enabled,Campaign Tiga #4,pages,Eligible,Responsive search ad,633024910920
Enabled,Campaign Tiga #4,pages,Eligible,Responsive search ad,633024910794
Enabled,Campaign Tiga #4,pages,Eligible,Responsive search ad,633024910941
Enabled,Campaign Tiga #4,storm,Eligible,Responsive search ad,633024910935
Enabled,Campaign Tiga #4,storm,Eligible,Responsive search ad,633024910923
Enabled,Campaign Tiga #4,storm,Eligible,Responsive search ad,633024910932
